USD,JPY,EUR,GBP,CAD,CHF,HKD,CNY,THB,IDR,SEK,AUD,DKK,NOK,SAR,KWD,BHD,AED,SGD,MYR,NZD,TWD,PHP,VND,PLN,RUB,ZAR,INR,PKR,BDT,EGP,MXN,BRL,BND,ILS,JOD,CZK,MNT,FJD,KHR,TRY,HUF,QAR
0.0,0.013822185779547969,0.009622713414634054,-0.009750548468351328,0.014300989040363588,0.007959995917950824,0.0007757951900699833,0.005528680027643285,0.007168458781361853,0.0,0.010009099181073733,0.021217966381923414,0.008498583569405138,0.006878761822871837,0.0,0.0005810930666421132,-0.0001884232740428926,0.0,0.006344628695025278,0.004490345756623215,0.012067231719580462,0.00967741935483879,0.0,0.0,0.011282908483075449,0.012121212121211977,0.00137174211248281,-0.006802721088435382,-0.01041666666666663,-0.007874015748031482,-0.023550724637681042,-0.02320675105485226,0.013298734998378192,0.007071727522008908,0.005013497878904927,-0.00035398230088512506,0.005141388174807249,0.0,0.0,0.0,-0.05062388591800371,0.0,0.0
0.0,0.02717582288860254,0.014862804878048586,-0.006662874786706796,0.014568297246725592,0.013776916011837947,0.0,0.011057360055287013,0.014336917562723928,0.0,0.019108280254777066,0.03706255166712591,0.014164305949008416,0.014617368873602654,0.0,0.0017432791999265618,-0.00037684654808556317,0.00036737692872890193,0.011824080749819776,0.007633587786259444,0.02844418905329693,0.022580645161290214,-0.004950495049504955,0.0,0.017969076473046464,0.012121212121211977,0.009602194787379892,0.0,-0.01041666666666663,-0.007874015748031482,-0.03985507246376818,-0.029535864978902926,0.007135906584495588,0.01226728243613806,0.010026995757809631,-0.00021238938053114165,0.01285347043701801,0.0,0.0,0.0,-0.05846702317290564,0.0,0.0
0.0,0.03150989809066429,0.02315167682926833,0.017794750954741145,0.012830793905372895,0.02132870701091938,0.0,0.012439530062197557,0.017921146953405076,0.0,0.030027297543220977,0.0402314687241665,0.022662889518413554,0.02923473774720553,0.0,0.0021408691928923584,-0.00011305396442562454,0.00036737692872890193,0.016149963950973234,0.011674898967220404,0.03864387300675176,0.029032258064516148,-0.004950495049504955,0.0,0.02799832845800254,0.018181818181818077,0.021947873799725626,0.0,-0.01041666666666663,-0.007874015748031482,-0.04166666666666663,-0.014767932489451407,0.02367823548491721,0.01746283735026699,0.01658310836868493,-0.0001415929203539834,0.020565552699228773,0.0,0.0,0.0,-0.05811051693404645,0.02941176470588247,0.0
0.0,0.03420405294599971,0.025724085365853577,0.021857479483221143,0.024057738572574205,0.028574344320849043,0.0,0.011748445058742174,0.021505376344086002,0.0,0.03912647861692453,0.04849820887296774,0.025495750708215414,0.042992261392949205,0.0003750937734432469,0.003180719943725707,-0.00026379258365993863,0.00036737692872890193,0.020043258832011634,0.013920071845532123,0.04611406407125407,0.029032258064516148,-0.004950495049504955,0.0,0.041370664437943905,0.012121212121211977,0.019204389574760006,0.006802721088435382,-0.01041666666666663,-0.007874015748031482,-0.030797101449275388,0.018987341772152,0.03535517353227369,0.021070861596190094,0.023524874662553152,-0.0005663716814160447,0.02570694087403602,0.0,0.0,0.0,-0.05311942959001792,0.02941176470588247,0.0
0.0,0.04041232283003393,0.017530487804878092,0.013244495002844081,0.017642341619887647,0.02275742422696192,0.0,0.010366275051831408,0.021505376344086002,0.0,0.02729754322111022,0.05221824193992841,0.01770538243626074,0.03267411865864145,0.0,0.003180719943725707,-0.00026379258365993863,0.0,0.017736121124729554,0.01302200269420739,0.043384571182301324,0.041935483870967794,-0.004950495049504955,0.0,0.03969912244045126,0.024242424242424176,0.026063100137174278,0.013605442176870763,-0.01041666666666663,-0.015748031496062853,-0.0036231884057971175,0.029535864978903037,0.03957184560493032,0.020060614807331456,0.02969533359043597,-0.00035398230088512506,0.01799485861182526,0.0,-0.013214067899979698,0.008163265306122325,-0.03743315508021394,0.02941176470588247,-0.00036403349108116156
0.0,0.03022138924680795,0.012195121951219523,0.015600877549362346,0.02298850574712641,0.017246657822226785,0.0,0.007601935038009877,0.02508960573476693,0.0,0.020928116469517644,0.058693855056489275,0.012039660056657242,0.02923473774720553,0.0,0.001896198427990381,-0.0002261079288513601,0.00036737692872890193,0.015573179524152936,0.009429726088908907,0.033759517310731235,0.04516129032258065,-0.009900990099009799,0.0,0.029669870455495184,0.04848484848484835,0.04389574759945125,0.013605442176870763,-0.01041666666666663,-0.015748031496062853,0.08333333333333326,0.03797468354430378,0.048978267920856355,0.016163948621734647,0.030852294639413858,-0.00042477876106206125,0.010282776349614497,0.0,-0.03008741614149213,0.020408163265306145,-0.028163992869875254,0.0,-0.00036403349108116156
0.0,0.03525828745460946,0.006764481707316916,0.013000731291135104,0.018043303929430765,0.013266659863251373,0.0,0.007601935038009877,0.021505376344086002,0.0,0.01455868971792551,0.05910719206392945,0.007790368271954895,0.03009458297506451,0.0,0.0017738630455395032,-0.0004899005125112987,0.0,0.018601297764960334,0.00808262236192192,0.032179284585547974,0.048387096774193505,-0.014851485148514754,0.0,0.0263267864605099,0.04848484848484835,0.05349794238683114,0.013605442176870763,-0.01041666666666663,-0.023622047244094446,0.14492753623188426,0.05063291139240511,0.052221861822899784,0.019627651897820897,0.04203625144620138,-0.0012743362831858507,0.007712082262210762,0.0,-0.026631429152266684,0.02448979591836742,-0.011408199643493933,0.0,-0.00036403349108116156
0.0,0.03385264144312994,0.005525914634146201,0.0030064191110750205,0.0076182838813152465,0.010817430350035684,-0.0007757951900697613,0.005528680027643285,0.02508960573476693,0.0,0.005459508644221955,0.053044915954808536,0.005665722379603277,0.022355975924333693,0.0003750937734432469,0.0012845215157353262,-0.0005275851673197662,0.00036737692872890193,0.023648161499639553,0.010776829815895672,0.024852751041517074,0.048387096774193505,-0.014851485148514754,0.0,0.025073129962390306,0.042424242424242475,0.05349794238683114,0.020408163265306145,0.0,-0.015748031496062853,0.13043478260869557,0.059071729957806074,0.04086928316574756,0.024823206811949827,0.048592364057076676,-0.0001415929203539834,0.005141388174807249,0.0,-0.026834722504574082,0.02448979591836742,-0.022459893048128454,0.0,0.0
0.0,0.0244816680332669,0.008860518292682862,-0.008694239050946573,-0.005613472333600655,0.008062047147668228,-0.0007757951900697613,0.0013821700069109877,0.017921146953405076,0.0,0.009099181073703333,0.041609258748966704,0.007790368271954895,0.010318142734307756,0.0,0.000917515368382471,-0.00033916189327709567,0.00036737692872890193,0.019610670511896133,0.008531656937584176,-0.0005746300818848527,0.041935483870967794,-0.014851485148514754,0.0,0.025491015461763356,0.036363636363636376,0.04801097393689968,0.020408163265306145,-0.01041666666666663,-0.015748031496062853,0.05253623188405787,0.07594936708860756,0.031138501459617274,0.020060614807331456,0.04550713459313549,-0.001415929203539834,0.005141388174807249,0.0,-0.043708070746086625,0.02448979591836742,-0.04313725490196074,0.0,0.0
0.0,0.025653039709499836,0.018006859756097393,-0.004875274234175664,-0.002806736166800272,0.015715889376467063,-0.0015515903801395226,0.0027643400138217533,0.017921146953405076,0.0,0.020928116469517644,0.04918710388536773,0.018413597733711207,0.006018916595012858,0.0003750937734432469,0.001682111508701123,-0.00011305396442562454,0.00036737692872890193,0.02321557317952405,0.009878760664571162,-0.0008619451228272235,0.04516129032258065,-0.014851485148514754,0.0,0.03384872544922679,0.036363636363636376,0.05349794238683114,0.03401360544217691,-0.01041666666666663,-0.015748031496062853,0.010869565217391353,0.08438818565400852,0.0343820953616607,0.023957280992928265,0.0559197840339376,-0.0009911504424778839,0.01799485861182526,0.0,-0.03598292335840614,0.02857142857142847,-0.03778966131907324,0.0,0.0
